productId,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10
BQ7043-668,CD3460-010,AQ8228-102,AH7858-010,AQ7497-300,AQ2222-200,AA1640-002,942851-002,AA1636-406,AR5676-401,CJ0219-400
CK2608-100,CJ0579-400,CJ0619-100,CI3899-200,CK2595-500,CD0113-400,BV3387-400,CT1264-101,CT5064-001,CT5528-001,AH6789-023
921733-104,CI7388-600,921826-016,CI1504-100,CI3708-700,AQ4126-100,CI3709-001,AQ0927-100,AH6789-023,CT1549-001,AH8050-100
CJ1379-001,CT4328-101,CQ0492-001,315123-111,366731-100,AA0287-002,CI3446-001,CD0887-201,315115-112,CD0888-002,CJ1646-600
CT1726-100,CT3867-001,CN7664-800,AO3095-100,BQ4424-700,CN6916-100,CI3835-002,CK0980-002,CK0980-002,CJ0404-001,CT3110-400
CT4525-001,CI3708-700,AQ4126-100,CT4526-100,AQ0927-100,CT1549-001,921733-104,AH8050-100,CI7388-600,921826-016,CT1264-101
923112-001,923112-001,CD5036-100,CD5036-100,BQ6826-003,BQ6826-003,807471-101,807471-103,749571-154,864348-019,705265-006
BQ3381-600,BQ3381-600,CD6105-007,310805-137,AR5149-005,133000-106,133000-106,414571-030,414571-030,554724-066,554724-050
AO2982-076,AQ1189-009,AQ1189-009,CD3395-006,CD3395-006,CN5455-160,CD3398-063,CJ0818-146,CN5455-160,BQ6044-100,BQ6046-010
CJ0277-002,CJ0280-001,CD4371-001,CD4372-004,BV0417-401,BV0415-300,CI1291-400,CI1290-100,CI1718-001,CK0089-100,BQ8928-011
AQ2730-009,CI3707-100,AQ2731-500,CI3706-100,CD4363-103,CD4365-003,CT3867-001,CD4371-001,CD4372-004,CJ0280-001,CJ0277-002
CT1030-100,CQ6639-001,CT4352-104,CN8490-100,CI3709-001,CT7695-401,AQ0927-100,CD0132-001,CU0675-300,CW4286-100,CT7698-600
CK9671-001,CK2718-003,CK2719-400,CK9670-100,CT5063-100,CI3708-700,AQ4126-100,CI3868-001,AO2924-401,CI3870-100,AR9293-603
BQ4632-602,CT0624-100,631261-035,832528-001,343880-090,343881-412,BQ3212-600,CD2717-001,CJ0882-001,CD2717-001,CJ0882-001
CJ0280-001,CJ0277-002,CD4371-001,CD4372-004,BV0415-300,BV0417-401,CK0089-100,CI1291-400,CI1290-100,CK6357-005,CK6360-001
AR6374-402,AT3381-008,310805-137,BV5502-600,CD2803-001,AV1201-600,CT5342-007,AR5149-005,CD6105-007,BQ4632-602,AO3166-300
CU5646-001,BQ3177-100,BQ3177-100,AO2434-101,CD5007-102,CI2668-004,CI2668-004,CD5050-400,CU5133-600,AQ0114-101,AR4225-003
AR4543-013,AQ7492-010,CJ0842-600,AQ7491-008,CD8526-446,BQ6044-100,BQ6046-010,BQ6044-100,CD6404-800,BQ3610-100,AO3424-001
CI3707-100,AQ2731-500,AQ2730-009,CI3706-100,CD4363-103,CD4365-003,CT3867-001,CD4371-001,CD4372-004,CJ0280-001,CJ0277-002
CQ9500-100,CT5770-300,CT8919-700,BQ3610-100,BQ3611-100,CN7383-300,CD8526-446,AO3095-100,CD4371-001,CD4372-004,343880-090
CJ1642-002,AR5339-002,CI3482-200,CQ0492-001,CT1020-001,CD4366-002,CT4328-101,315115-112,CT2584-100,CJ1379-001,CD0888-002
CD0888-002,CK4363-100,CI3446-001,CT4328-101,315123-111,CD0887-201,315115-112,366731-100,315122-001,CQ0492-001,CJ1379-001
CI3868-001,CI3870-100,AO2924-401,AR9293-603,CD0683-600,CT5229-001,AH6789-023,CD6615-100,CI3709-001,BV6484-002,CD0132-001
CJ0636-100,CI3898-200,BQ9665-301,CD0479-200,CI1214-004,AQ4312-107,AR7410-603,CQ2503-900,AH6789-023,CI3709-001,CI3868-001
852542-087,554724-066,554724-050,CT5342-007,CK3022-005,AQ4126-100,133000-106,133000-106,881105-800,CD6615-100,AR7410-603
CK2351-601,CQ7619-700,CQ7620-001,BV7725-500,CD8526-446,CD6404-800,BQ3610-100,AO3095-100,844127-108,844127-108,CD4387-100
BV0657-400,BV0657-400,923112-001,923112-001,CJ0882-001,CJ0882-001,705265-006,864348-019,BQ3610-100,AJ9515-001,CD8526-446
AT8000-104,AT8000-104,AT7999-414,AT7999-414,AT7967-104,AT7967-104,AT7998-104,AT7998-104,AT7995-104,AT7995-104,AT7997-606
554724-066,554724-050,852542-087,133000-106,133000-106,CD6105-007,AR5149-005,310805-137,AV5187-602,CT5342-007,414571-030
CJ0619-100,CI3899-200,CJ0579-400,CK2608-100,CT5064-001,BV3387-400,CT1264-101,CT2535-001,AO4971-700,AT6174-004,CK2595-500
CJ0592-001,AH6799-300,BQ5613-001,CI7379-400,AV4417-002,CI3709-001,CD0132-001,640744-016,AQ0927-100,CT7695-401,BV9977-101
CT3867-001,CD4365-003,CD4363-103,AQ2730-009,CI3707-100,AQ2731-500,CI3706-100,CT1726-100,CJ0404-001,CJ0280-001,CD4371-001
CJ0267-001,CJ0266-001,CI9921-001,CJ0270-601,AQ5707-001,AQ5708-201,AQ1316-500,BV7782-001,CI1289-100,CI9994-001,BV7775-100
AT7998-104,AT7998-104,AT8000-104,AT8000-104,AT7967-104,AT7967-104,AT7997-606,AT7997-606,AT7980-606,AT7980-606,AT7999-414
AT7898-104,AT7898-104,AQ4176-049,AQ4176-049,CD6720-808,CD6720-808,CD6720-808,CD6721-808,CD6721-808,AQ4174-049,AQ4174-049
CD5086-500,CD5082-001,AO2607-401,AO2607-401,CI2666-400,CI2666-400,AO2605-600,CI9949-001,CD0189-001,CD0191-009,AR8836-009
CJ0625-700,CI3708-700,AQ4126-100,CD0132-001,CI3709-001,CI3868-001,CI3870-100,921733-104,CI1504-100,CI7388-600,AH6789-023
CT4352-104,CU0675-300,CN8490-100,CQ6639-001,CI5646-200,CI7395-100,CD0490-104,CD0490-101,CD0881-104,CT1030-100,CU9174-600
CD3002-103,AV4126-002,CW6565-900,BQ3448-400,BQ3381-600,BQ3381-600,CD6105-007,BV5502-600,AR5149-005,554724-066,554724-050
BQ7043-668,CD3460-010,AQ8228-102,AH7858-010,AQ7497-300,AQ2222-200,AA1640-002,942851-002,AA1636-406,AR5676-401,CJ0219-400
CD3395-006,CD3395-006,CN5455-160,CD3398-063,CN5455-160,CJ0818-146,AO2982-076,AQ1189-009,AQ1189-009,CN5501-046,CN5501-046
CQ6569-001,487754-303,AQ2567-002,BV1357-003,CJ9681-001,AQ0927-100,AQ4126-100,CI3868-001,AO2924-401,CI3870-100,AR9293-603
AT7997-606,AT7997-606,AT7999-414,AT7999-414,AT8000-104,AT8000-104,AT7998-104,AT7998-104,CJ1300-401,CJ1300-401,AT7968-606
CI3708-700,AQ4126-100,CT4525-001,921733-104,CI7388-600,921826-016,AQ0927-100,CT1549-001,CI1504-100,AH6789-023,CI3868-001
CT1104-700,CD2053-105,CT5543-300,AH6789-023,CI3868-001,AO2924-401,CI3870-100,AR9293-603,CI3709-001,CD6615-100,AQ2567-002
CD5007-102,CI2668-004,CI2668-004,BQ3177-100,BQ3177-100,CD5050-400,CU5646-001,AJ9515-001,AR4225-003,AR4225-100,AV9370-001
AT7995-104,AT7995-104,AT7996-606,AT7996-414,CJ1306-401,CJ1306-401,AT7993-414,AT7993-414,AT8000-104,AT8000-104,AT7978-414
BV9977-101,CT7695-401,CW4286-100,CU9174-600,CT7698-600,AH6789-023,CD6615-100,CI3868-001,AO2924-401,CI3870-100,AR9293-603
CD0200-003,CD3395-006,CD3395-006,CN5455-160,CD3398-063,CJ0818-146,CN5455-160,BQ6044-100,BQ6046-010,BQ6044-100,CT9155-063
BQ3177-100,BQ3177-100,CD5007-102,CU5646-001,CI2668-004,CI2668-004,CD5050-400,AR4225-003,AR4225-100,AQ0114-101,CD0188-101
DA4155-400,CK2531-001,CI3868-001,AO2924-401,CI3870-100,AR9293-603,CN2408-001,CT5229-001,AQ0927-100,AH8050-100,CD0683-600
CJ0860-668,CJ0773-010,BQ7043-668,CD3460-010,CD8526-446,BQ6044-100,BQ6046-010,BQ6044-100,CD6404-800,CN5501-046,CN5501-046
CQ0912-100,325213-139,BV9977-101,AH6789-023,AQ0927-100,CT7695-401,CD6615-100,CW4286-100,CT7698-600,CQ6639-001,AH8050-100
CT1099-093,CT1099-093,BQ5469-703,BQ5469-703,AQ4174-049,AQ4174-049,CD6721-808,CD6721-808,CD6720-808,CD6720-808,CD6720-808
CI1718-001,CI1291-400,CI1290-100,BV0417-401,BV0415-300,CK0089-100,CJ0277-002,CJ0280-001,AO9819-001,AO9820-001,BQ8928-011
CD0490-104,CD0490-101,CD0881-104,CN8490-100,CQ6639-001,CT2007-100,CT4352-104,CU0675-300,AJ7695-100,AJ1285-101,AQ0927-100
AT7980-606,AT7980-606,AT7949-606,AT7949-606,AT7999-414,AT7999-414,AT7998-104,AT7998-104,AT7978-414,AT7978-414,BQ5435-703
BQ3202-011,BQ3203-007,BQ7043-668,CD3460-010,AJ4115-060,CJ0710-004,CN6881-300,880848-005,CN7383-300,AQ8228-102,BV0389-001
CK2595-500,CD0113-400,CT5064-001,CT5528-001,CT2535-001,AO4971-700,AT6174-004,CT1264-101,CQ6549-001,CI3866-100,CK2608-100
CQ2344-100,CT2584-100,CQ6566-700,CT4328-101,CQ0492-001,315115-112,CJ1379-001,CD4366-002,CD0888-002,CK4363-100,AR5339-002
AO4971-700,AT6174-004,CT5064-001,CT5528-001,CT2535-001,CK2595-500,CD0113-400,CT1264-101,CQ6549-001,CI3866-100,CI3899-200
AV2605-101,CN7664-800,AO9819-001,AO9820-001,CD6964-002,BQ6166-003,CI3835-002,CU3459-200,BV1507-001,BQ2728-012,AO4971-700
AA1625-009,AA1626-602,AT1369-103,AO9819-001,AO9820-001,BQ6166-003,CD4371-001,CD4372-004,CN5501-046,CN5501-046,BV6344-001
CK3022-005,553558-125,553558-125,AR5149-005,528895-003,852542-087,CD6105-007,CQ0492-001,CT5342-007,AA0287-002,310805-137
AO7351-104,AO7353-105,CT3890-101,CI3709-001,AH6789-023,CI3868-001,AO2924-401,CI3870-100,AR9293-603,CD6615-100,AT3378-471
AJ9515-001,AV9370-001,AV9373-002,864348-019,704939-103,CI5546-100,807471-101,807471-103,749571-154,AO3095-100,BQ3610-100
AO2434-101,AH7858-010,BQ7043-668,CD3460-010,BQ5467-101,BQ5467-101,AQ8228-102,942851-002,AQ2222-200,CI1694-300,CU5646-001
CJ0861-017,CJ0861-010,CD8526-446,CJ6314-146,AQ8306-407,CD3395-006,CD3395-006,CN5455-160,CD3398-063,CJ0818-146,CN5455-160
AT1198-401,AT1198-401,AO2605-600,CD0188-101,CI9949-001,CI1289-100,CD0191-009,AH7249-118,AH7249-118,849559-004,849560-001
AT7996-606,AT7996-414,AT7995-104,AT7995-104,CJ1306-401,CJ1306-401,AT7993-414,AT7993-414,AT7978-414,AT7978-414,CJ1300-401
CK2772-101,AH1015-010,AV1201-600,AO9819-001,AO9820-001,CT5342-007,CD2153-001,BV1507-001,CI3831-200,CN3591-002,AH1016-602
AQ7477-009,AQ7477-009,AH6789-023,CD6615-100,CI3709-001,CI3868-001,AO2924-401,CI3870-100,AR9293-603,CD0132-001,AH8050-100
AQ5707-001,AQ1289-003,CJ0267-001,CJ0266-001,AQ5708-201,BV7782-001,BV7774-100,BV7775-100,AQ1316-500,CI1289-100,CI9921-001
BV4584-001,CQ6278-001,CD2182-001,CT2692-002,CD8526-446,BQ3610-100,AO3095-100,BQ6166-003,BQ3611-100,BQ5102-400,BQ2728-012
CD6721-808,CD6721-808,AQ4174-049,AQ4174-049,AQ4176-049,AQ4176-049,AT7898-104,AT7898-104,CD6720-808,CD6720-808,CD6720-808
AO0566-606,AO0566-606,AO0571-606,AO0571-606,AO0570-810,AO0570-810,AO0577-717,AO0577-717,AO0578-717,AO0578-717,AO3267-080
AT5410-003,CI3868-001,AO2924-401,CI3870-100,AR9293-603,487754-303,AQ0927-100,AQ4126-100,CD0683-600,CK9670-100,AO4971-700
BV6348-300,CI9367-301,BV6344-001,BQ3611-100,634835-108,BQ3610-100,AQ0927-100,BQ5240-200,AR6631-004,AR6632-603,CK7200-800
CI3703-401,AO1741-003,AR9293-603,AH6789-023,CI3868-001,AO2924-401,CI3870-100,CD6615-100,CD0132-001,CI3709-001,CI3866-100
AT7946-414,AT7946-414,AT5269-606,AT5269-606,AT7949-606,AT7949-606,AT7960-104,AT7960-104,BQ5427-401,BQ5427-401,AT5292-606
BQ5401-001,CD8526-446,BQ6044-100,BQ6046-010,BQ6044-100,BV6484-002,AO3095-100,CN7383-300,BQ3611-100,BQ3610-100,CD0189-001
BV7725-500,CK2351-601,CQ6566-700,AV9373-002,BV0389-001,CQ7619-700,CQ7620-001,BQ3610-100,BQ3611-100,AV2605-101,CD8526-446
CU7623-002,AT6395-002,BQ3610-100,AJ6844-007,AO1742-004,BQ3611-100,CT8919-700,CT1020-001,BV4584-001,AO4971-700,AT6174-004
CK5669-400,CJ0588-001,AQ0925-002,CI3705-600,CI3868-001,AO2924-401,CI3870-100,AR9293-603,BV1357-003,AH6789-023,807443-503
704939-103,AJ9515-001,AV9370-001,864348-019,AV9373-002,CJ0882-001,CJ0882-001,CI5546-100,705265-006,923112-001,923112-001
CD5050-400,CD5007-102,BQ3177-100,BQ3177-100,CI2668-004,CI2668-004,CU5646-001,CU5133-600,AQ0114-101,AR4225-003,AR4225-100
CK5836-100,943806-602,943806-602,CD5028-900,BQ4631-100,CD0191-009,AQ2456-007,AV6337-003,BQ4630-500,BQ4630-500,CT1726-100
CI1396-600,CI1396-004,AQ0927-100,CT5064-001,AH6789-023,AH8050-100,921733-104,CT1264-101,CI3708-700,CI7388-600,CD6615-100
CD0916-001,325213-139,AJ1285-101,AQ0926-001,CD0917-300,AJ7695-100,AH6789-023,881105-800,CT2007-100,CD6615-100,CI7395-100
BV1507-001,CI3831-200,CD2153-001,BQ6166-003,CI3835-002,CN3591-002,BQ2728-012,CD6964-002,CJ3312-001,AO3095-100,CD4371-001
BQ6623-070,BQ6623-070,AO2924-401,CI3868-001,CI3870-100,AR9293-603,CD0683-600,CD6105-007,CT5229-001,BV6484-002,CJ5472-900
CD4156-606,CD4156-606,AO3258-080,AO3258-080,CD4159-606,CD4159-606,CD4161-606,CD4161-606,AJ6959-717,AJ6959-717,CD4173-606
CI3831-200,BV1507-001,CN3591-002,CD2153-001,BQ2728-012,BQ6166-003,CI3835-002,CD6964-002,CJ3312-001,AO3095-100,CD4371-001
AO1741-003,CI3703-401,CI3868-001,AO2924-401,CI3870-100,AR9293-603,AH6789-023,CT1104-700,CD6615-100,CI3866-100,CQ2503-900
AH8050-100,CT1264-101,BV3387-400,AH6789-023,CD6615-100,AQ0927-100,CT5064-001,CK4126-001,CI3868-001,AO2924-401,CI3870-100
CD4159-606,CD4159-606,CD4156-606,CD4156-606,CD4173-606,CD4173-606,AO3258-080,AO3258-080,AJ6959-717,AJ6959-717,CD4161-606
CK4363-100,CD0888-002,CD0887-201,315115-112,CI3446-001,CT4328-101,315122-001,315123-111,AA0287-002,366731-100,CJ1379-001
CN8490-100,CQ6639-001,CT4352-104,CI5646-200,CU0675-300,CD0490-104,CD0490-101,CD0881-104,CU9174-600,CT7695-401,AJ7695-100
CI9921-001,CJ0270-601,CJ0267-001,CJ0266-001,CD8526-446,AA7408-008,BV7774-100,AQ5707-001,AQ1316-500,CJ0861-017,CJ0861-010
AO3269-717,AO3267-080,AO3267-080,CD4172-606,CD4172-606,CD4173-606,CD4173-606,AO3258-080,AO3258-080,CD4156-606,CD4156-606
CI9367-301,BV6348-300,BV6344-001,CD8526-446,AT1369-103,BQ3610-100,749571-154,807471-101,807471-103,BQ6166-003,CI3835-002
AT7960-104,AT7960-104,AT7967-104,AT7967-104,AT5269-606,AT5269-606,AT7968-606,AT7946-414,AT7946-414,AT7995-104,AT7995-104
AT8179-100,AO4971-700,AT6174-004,AR9293-603,BV1357-003,AQ2567-002,CI3868-001,AO2924-401,CI3870-100,AQ0927-100,CD0683-600
AV3866-001,AQ0925-002,AQ0927-100,AH6789-023,CK5669-400,AQ4126-100,921733-104,CI3868-001,AO2924-401,CI3870-100,AR9293-603
AH1015-010,AH1016-602,AO9819-001,AO9820-001,CD4371-001,CD4372-004,BQ8928-011,BQ8927-102,CN5501-046,CN5501-046,BQ6166-003
AT5293-004,AT5293-004,AT6099-606,AT6099-606,AT6100-606,AT5292-606,AT5292-004,AT6109-606,AT6110-004,AT6110-004,AT6109-606
AT7949-606,AT7949-606,AT7968-606,AT7967-104,AT7967-104,AT7946-414,AT7946-414,AT7980-606,AT7980-606,AT6107-606,AT6107-606
AT6395-002,AO1742-004,AJ6844-007,CU7623-002,CD4373-001,CI7523-002,BQ3610-100,CT1020-001,AO4971-700,AT6174-004,BQ3611-100
CK6357-005,CK6360-001,CT3509-001,BV7106-400,BV7099-400,CJ0280-001,CJ0277-002,CD4371-001,CD4372-004,AQ2730-009,CI3707-100
AV5555-001,BQ6166-003,AT5301-003,BQ2728-012,CI3835-002,CD2153-001,AO9819-001,AO9820-001,BV1507-001,AV2605-101,CI3831-200
310805-137,CT5342-007,487471-003,414571-030,414571-030,528895-003,130690-017,130690-017,CN2932-100,CN2932-100,AR5149-005
130690-017,130690-017,487471-003,310805-137,CI1236-100,CT5342-007,528895-003,414571-030,414571-030,AR5149-005,313358-006
CT1264-101,BV3387-400,AH8050-100,CT5064-001,CK4126-001,CT5528-001,AH6789-023,AO4971-700,AT6174-004,CT2535-001,CK2595-500
CK5668-600,AT6175-100,CI3867-001,AQ2568-100,CT5062-100,CD0132-001,CI3709-001,AH6789-023,CI3868-001,AO2924-401,CI3870-100
BQ5427-401,BQ5427-401,CJ1292-401,CJ1292-703,BQ5435-703,BQ5435-401,BQ5430-401,BQ5430-401,BQ5469-703,BQ5469-703,AT7946-414
AQ7497-300,AQ8228-102,BQ7043-668,CD3460-010,AA7406-006,AH7858-010,CD4573-001,AR5677-200,AQ2210-002,CN6867-001,942851-002
CT4526-100,CT4525-001,CI3708-700,AQ4126-100,CT1549-001,AQ0927-100,921733-104,BQ5615-002,AH8050-100,CI7388-600,921826-016
AH7378-801,AH7378-801,AT7968-606,AT7967-104,AT7967-104,AT7949-606,AT7949-606,AT5269-606,AT5269-606,AT7960-104,AT7960-104
CJ0404-001,CD4570-300,BV7756-001,AT8241-002,AT8240-003,CJ0509-001,880848-005,CJ0710-004,CN6881-300,CD7288-001,CD7287-003
CI3871-300,CI3869-500,BV5841-800,BQ5972-001,CU3013-070,CD0683-600,CJ5472-900,CJ5472-900,CI3868-001,CT5229-001,CI3870-100
BQ2728-012,BQ6166-003,CI3831-200,CI3835-002,CN3591-002,BV1507-001,CD2153-001,CD6964-002,CJ3312-001,AO9820-001,AO9819-001
CT3110-400,CT3110-400,CT3632-001,CT3632-001,CK0980-002,CK0980-002,705265-006,923112-001,923112-001,CI3835-002,DA4155-400
CI9921-001,CJ0270-601,CJ0267-001,CJ0266-001,CD8526-446,AA7408-008,BV7774-100,AQ5707-001,AQ1316-500,CJ0861-017,CJ0861-010
CT8919-700,CT5770-300,CQ9500-100,BQ3610-100,BQ3611-100,AO4568-600,AO4568-600,AO4971-700,AT6174-004,CN7383-300,CD4371-001
CT1020-001,CD4366-002,AO4971-700,AT6174-004,CT4328-101,CT5064-001,CJ1379-001,BQ6166-003,CI3835-002,BV3387-400,CQ0492-001
CD5082-001,CD5086-500,AO2607-401,AO2607-401,CI2666-400,CI2666-400,AO2605-600,CI9949-001,CD0189-001,CD0191-009,AR8836-009
BV5739-500,BV5740-101,AQ2203-003,AQ2210-002,CN6867-001,CD4573-001,AV6259-500,AR5676-401,AR5677-200,BV0614-005,942851-002
CW4286-100,CT7698-600,CU9174-600,CT7695-401,BV9977-101,AH6789-023,CQ6639-001,CI3868-001,AO2924-401,CI3870-100,AR9293-603
CD0887-201,AO2132-401,315115-112,315122-001,CT4328-101,CK4363-100,CD0888-002,AA0287-002,CJ1379-001,315123-111,366731-100
CD5028-900,BQ4631-100,943806-602,943806-602,AQ2456-007,CD0191-009,CK5836-100,BQ4632-602,AV6337-003,CK7200-800,CI9842-500
AJ6900-102,AJ6910-009,AT5673-700,CK9670-100,AO1023-005,CT5063-100,CK2718-003,CK2719-400,AR6631-004,AR6632-603,BV1712-001
CI9842-500,CK7200-800,CZ6156-101,AQ0927-100,AO4971-700,AT6174-004,AH6799-300,BV9977-101,CT2535-001,CD0132-001,CJ0636-100
CI0919-100,CI0919-100,CQ3317-001,CQ6566-700,AR5339-002,CT1020-001,CJ1646-600,CT4328-101,CQ0492-001,366731-100,CJ1379-001
CK7200-800,CI9842-500,CZ6156-101,AQ0927-100,BV3387-400,CI3868-001,AO2924-401,CI3870-100,AR9293-603,AH6789-023,CI3709-001
487754-303,AQ0927-100,CQ6569-001,AQ4126-100,CI3868-001,AO2924-401,CI3870-100,AR9293-603,AQ2567-002,CD0683-600,CK9670-100
AH7249-118,AH7249-118,AT1369-103,AT6109-606,AT6109-606,AT6100-606,AA1625-009,AA1626-602,AT5293-004,AT5293-004,AT6110-004
CJ9684-001,CD7005-001,AO1023-005,CD6615-100,AH6789-023,CI3868-001,AO2924-401,CI3870-100,AR9293-603,CU9174-600,CT7695-401
AO0354-108,AT8240-003,BV7756-001,BQ5467-101,BQ5467-101,AT8241-002,AH7858-010,CN7383-300,CD4570-300,BQ1896-002,CJ9712-001
AT8242-009,AT2863-100,BV7766-100,CN6928-300,CN7383-300,BV1134-001,BV7757-500,AJ4115-060,AR4347-600,BQ1896-002,CJ9712-001
832528-001,832655-001,618919-031,488161-602,343880-090,343881-412,CD6964-002,CD8526-446,CD2717-001,CD2717-001,AO3095-100
CD4371-001,CD4372-004,AH1015-010,BQ8928-011,BQ8927-102,AO9819-001,AO9820-001,BQ6166-003,CI3835-002,AH1016-602,CN5501-046
AQ8830-016,AR5149-005,310805-137,528895-003,554724-066,554724-050,CD6105-007,133000-106,133000-106,CT5342-007,AV5187-602
AO9819-001,AO9820-001,AH1015-010,AH1016-602,BQ8928-011,BQ8927-102,AA1625-009,CD4371-001,CD4372-004,CI3835-002,BQ6166-003
AR3863-101,AH6789-023,CD6615-100,AQ0927-100,CK5669-400,CI3868-001,AO2924-401,CI3870-100,AR9293-603,CT5064-001,AH8050-100
CI3706-100,CI3707-100,AQ2731-500,AQ2730-009,CD4363-103,CD4365-003,CT3867-001,CD4371-001,CD4372-004,CJ0280-001,AH1015-010
AT1369-103,AA1625-009,AA1626-602,AO9819-001,AO9820-001,BQ6166-003,CI3835-002,CN7664-800,BV1507-001,AO4971-700,AT6174-004
AO2982-076,AQ1189-009,AQ1189-009,CD3395-006,CD3395-006,CN5455-160,CD3398-063,CJ0818-146,CN5455-160,BQ6044-100,BQ6046-010
CU5133-600,CU5646-001,CI2668-004,CI2668-004,CD5050-400,AO2434-101,CK3312-001,CD7005-001,CD0490-104,CD0490-101,CD0881-104
CK9670-100,CK2718-003,CK2719-400,CT5063-100,CK9671-001,AT5673-700,CI3868-001,AO2924-401,CI3870-100,AR9293-603,AH6789-023
CI5546-100,AJ9515-001,AV9370-001,AV9373-002,864348-019,AR5339-002,704939-103,BQ3611-100,CI3482-200,BQ3610-100,343880-090
BQ6826-003,BQ6826-003,923112-001,923112-001,CD5036-100,CD5036-100,CN6867-001,CD4573-001,CT2584-100,AQ2210-002,AQ2203-003
CU0814-102,325213-139,AJ1285-101,881105-800,CT2007-100,AJ7695-100,AQ0927-100,AH8050-100,AQ4126-100,AQ0926-001,CT1264-101
CD3395-006,CD3395-006,CN5455-160,CD3398-063,CN5455-160,CJ0818-146,AO2982-076,AQ1189-009,AQ1189-009,CN5501-046,CN5501-046
AV4789-104,BQ3378-002,AO3108-018,AO3095-100,BQ3610-100,CD8526-446,BQ6166-003,CI3835-002,BQ3611-100,CN3591-002,CD6404-800
CJ3312-001,BQ6166-003,CI3835-002,BQ2728-012,CI3831-200,CD2153-001,BV1507-001,CN3591-002,CD6964-002,AO9819-001,AO9820-001
AR6631-004,AR6632-603,BV1712-001,CI1246-302,AT6817-300,AT5673-700,CK9670-100,AH6789-023,AO2924-401,CD6615-100,849559-004
BQ6166-003,CI3835-002,BQ2728-012,BV1507-001,CI3831-200,CD2153-001,CN3591-002,CD6964-002,CJ3312-001,AO9819-001,AO9820-001
CQ0492-001,CT4328-101,315123-111,366731-100,CJ1379-001,AA0287-002,CJ1646-600,315115-112,CD0888-002,CQ6566-700,CD0887-201
918193-700,918194-003,AA8022-107,CD0431-107,AA8027-109,AA8030-108,AA8018-101,AH7858-010,BQ7043-668,CD3460-010,AQ8228-102
AQ0926-001,AJ1285-101,AQ0927-100,AJ7695-100,881105-800,AQ0925-002,325213-139,AQ4126-100,CT2007-100,CD0490-104,CD0490-101
AQ7489-008,CJ6314-146,CD8526-446,CJ0861-017,CJ0861-010,AO2982-076,AQ1189-009,AQ1189-009,CD3395-006,CD3395-006,CN5455-160
CD7070-009,CK2595-500,CD0113-400,CQ6549-001,AH6789-023,AO1023-005,CD6615-100,CI3868-001,CI3870-100,AR9293-603,CT5064-001
AH7857-009,AH7858-010,CI1694-300,942851-002,AO4971-700,AT6174-004,AQ0927-100,BQ7043-668,CD3460-010,CI7379-400,487754-303
CT5229-001,CI3868-001,CI3870-100,AO2924-401,AR9293-603,CD0683-600,AQ0927-100,CT5064-001,CD0132-001,AH6789-023,CI3709-001
