productId,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10
AR6374-402,310805-137,BV5502-600,CD6105-007,554724-066,554724-050,414571-030,CT5342-007,CD2803-001,AR5149-005,AT3381-008
CU5646-001,AO2434-101,BQ3177-100,CD5007-102,CI2668-004,CD5050-400,CU5133-600,AQ0114-101,AR4225-003,AR4225-100,CD0188-101
AR4543-013,AQ7491-008,AQ7492-010,CJ0842-600,AO3424-001,BQ6044-100,BQ6046-010,AQ8306-407,BQ5240-200,BQ3177-100,AT7980-606
CI3707-100,AQ2731-500,AQ2730-009,CI3706-100,CD4363-103,CD4365-003,CT3867-001,CD4371-001,CD4372-004,CJ0280-001,BQ8928-011
CQ9500-100,CT5770-300,CT8919-700,AR4347-600,AO4568-600,CN7383-300,CU9174-600,AJ4115-060,CT7695-401,CW4286-100,CT7698-600
CJ1642-002,AR5339-002,CI3482-200,CQ0492-001,CT1020-001,CD4366-002,CI0919-100,CT4328-101,CQ6566-700,CJ1646-600,315115-112
CD0888-002,CK4363-100,CI3446-001,315123-111,CD0887-201,CT4328-101,366731-100,CQ0492-001,BQ4424-700,315115-112,AA0287-002
CI3868-001,CI3870-100,AO2924-401,AR9293-603,CD0683-600,CT5229-001,CD0132-001,BV6484-002,AH6789-023,CD6615-100,CI3709-001
CJ0636-100,CI3898-200,BQ9665-301,CD0479-200,AQ4312-107,CI1214-004,AR7410-603,CQ2503-900,CD0132-001,CI3709-001,AH6789-023
852542-087,554724-066,554724-050,CT5342-007,CK3022-005,133000-106,AQ4126-100,881105-800,310805-137,CD6615-100,414571-030
CK2351-601,CQ7619-700,CQ7620-001,BV7725-500,CI5646-200,AT1369-103,807471-101,807471-103,CQ6639-001,CI7395-100,749571-154
BV0657-400,CJ0882-001,705265-006,923112-001,864348-019,CT3110-400,704939-103,CK0980-002,AR7718-001,AT7324-001,CT3632-001
AT8000-104,AT7967-104,AT7999-414,AT7998-104,AT7995-104,AT7960-104,AT7997-606,AT7968-606,AT7996-606,AT7996-414,CJ1306-401
554724-066,554724-050,852542-087,CD6105-007,133000-106,310805-137,553558-125,CT5342-007,414571-030,AR5149-005,BV5502-600
CJ0619-100,CI3899-200,CJ0579-400,CK2608-100,CT5064-001,CT2535-001,CK2595-500,CD0113-400,AO4971-700,AT6174-004,CT5528-001
CJ0592-001,AH6799-300,BQ5613-001,CI7379-400,AV4417-002,CI3709-001,CD0132-001,640744-016,921733-104,AH6789-023,CD6615-100
CT3867-001,CD4365-003,CD4363-103,AQ2730-009,CI3707-100,AQ2731-500,CI3706-100,CJ0404-001,CT1726-100,AJ6844-007,AT6395-002
CJ0267-001,CJ0266-001,CI9921-001,CJ0270-601,AQ5707-001,AQ5708-201,AQ1289-003,CI9994-001,BV7782-001,AQ1316-500,CI1289-100
AT7998-104,AT7967-104,AT8000-104,AT7997-606,AT7995-104,AT7960-104,AT7993-414,AT7999-414,AT7968-606,AT7898-104,CJ1300-401
AT7898-104,AQ4176-049,CD6720-808,CD6721-808,AQ4174-049,AT7960-104,AT7995-104,AT7967-104,AT7998-104,AT8000-104,AT5269-606
CD5086-500,CD5082-001,CI2666-400,AO2607-401,CI9949-001,AO2605-600,CD0191-009,AT1198-401,CD0189-001,AR8836-009,BQ5427-401
CJ0625-700,CI3708-700,AQ4126-100,921733-104,CI7388-600,CI1214-004,CD0132-001,921826-016,CT1549-001,CI3709-001,CI1504-100
CT4352-104,CU0675-300,CN8490-100,CQ6639-001,CI5646-200,CI7395-100,CD0490-104,CD0490-101,CD0881-104,325213-139,AJ7695-100
CD3002-103,AV4126-002,CW6565-900,BQ3448-400,BQ3381-600,CD6105-007,AR5149-005,554724-066,554724-050,BV5502-600,310805-137
CD3460-010,BQ7043-668,CJ0860-668,CJ0773-010,AQ8228-102,AA1640-002,AH7858-010,AQ2222-200,AA1636-406,AA8027-109,AQ7497-300
CD3395-006,CN5455-160,CD3398-063,CJ0818-146,AO2982-076,AQ1189-009,CN5501-046,CT9155-063,BQ6044-100,BQ6046-010,CJ0861-017
CQ6569-001,CJ9681-001,AQ2567-002,487754-303,BV1357-003,CK4122-100,AH6789-023,AQ0927-100,CD6615-100,CD0132-001,CI3868-001
AT7997-606,AT7999-414,AT7998-104,AT7968-606,CJ1300-401,AT7993-414,AT8000-104,AT7967-104,CJ1292-703,CJ1292-401,CJ1306-401
CI3708-700,AQ4126-100,921733-104,921826-016,CI7388-600,CT1549-001,CT4525-001,CJ0625-700,CI1504-100,CT4526-100,AQ0927-100
CT1104-700,CD2053-105,CT5543-300,AH6789-023,CD6615-100,CI3709-001,CD0132-001,CI3868-001,CI3870-100,AR9293-603,AO2924-401
CD5007-102,BQ3177-100,CI2668-004,CD5050-400,CU5646-001,AR4225-003,AR4225-100,AQ0114-101,CD0188-101,AO2434-101,CU5133-600
AT7995-104,AT7996-606,AT7996-414,AT8000-104,AT7960-104,CJ1306-401,AT7967-104,AT7998-104,AT7993-414,AT7978-414,AT7999-414
BV9977-101,CT7695-401,CU9174-600,CW4286-100,CT7698-600,AH6789-023,CD6615-100,CQ6639-001,CD0132-001,CI3868-001,CI3870-100
CD0200-003,CK6357-005,CK6360-001,CT3509-001,CJ0818-146,CD3395-006,CN5455-160,CD3398-063,AQ7492-010,BQ6044-100,BQ6046-010
BQ3177-100,CD5007-102,CI2668-004,CU5646-001,CD5050-400,AR4225-003,AR4225-100,AQ0114-101,CD0188-101,CU5133-600,AO2434-101
DA4155-400,CK2531-001,CI3868-001,CI3870-100,AR9293-603,AO2924-401,CT5229-001,CN2408-001,CD0683-600,CI3709-001,BV6484-002
CJ0773-010,CJ0860-668,BQ7043-668,CD3460-010,AQ7491-008,AT1369-103,CK6357-005,CK6360-001,BQ6044-100,BQ6046-010,CJ0861-017
CQ0912-100,325213-139,CQ6639-001,AJ7695-100,AJ1285-101,CN8490-100,CT4352-104,CI7395-100,AH6789-023,AQ0926-001,CT7695-401
CT1099-093,BQ5469-703,AQ4174-049,CD6721-808,CD6720-808,AQ4176-049,AT7980-606,BQ5427-401,AT7949-606,AT7898-104,AT7978-414
CI1718-001,CI1291-400,CI1290-100,BV0417-401,BV0415-300,CK0089-100,CJ0277-002,CJ0280-001,BQ8928-011,BQ8927-102,AO9820-001
CD0490-101,CD0490-104,CD0881-104,CQ6639-001,CN8490-100,CT4352-104,AJ7695-100,CU0675-300,AJ1285-101,325213-139,CT2007-100
AT7980-606,AT7949-606,AT7978-414,BQ5435-703,BQ5435-401,AT7999-414,AT8000-104,AT7998-104,AT7975-606,CD4173-606,AT7997-606
BQ3202-011,BQ3203-007,880848-005,AA7406-006,BQ7043-668,CD3460-010,AH7858-010,AQ8228-102,CJ0710-004,CN6881-300,CD7288-001
CD0113-400,CK2595-500,CT5064-001,CK2608-100,CT2535-001,CT5528-001,CJ0579-400,AO4971-700,AT6174-004,CI3899-200,CI3866-100
CQ2344-100,CT2584-100,CQ0492-001,CQ6566-700,CT4328-101,CI3446-001,AA0287-002,BQ5102-400,315123-111,CT1020-001,366731-100
AO4971-700,AT6174-004,CT5064-001,CT2535-001,CT5528-001,CK2595-500,CD0113-400,CI3899-200,CJ0619-100,CQ6549-001,CT1264-101
AV2605-101,CN7664-800,CU3459-200,CD6964-002,AO9820-001,AO9819-001,AO4971-700,AT6174-004,CT5064-001,AT1369-103,BQ6166-003
AA1625-009,AA1626-602,AT1369-103,AO9819-001,AO9820-001,BQ6166-003,CT5064-001,BQ2728-012,AO4971-700,AT6174-004,CI3835-002
CK3022-005,553558-125,852542-087,CT5342-007,CD6105-007,AR5149-005,528895-003,310805-137,554724-066,554724-050,CQ0278-200
AO7351-104,AO7353-105,CT3890-101,CI3709-001,CD0132-001,AH6789-023,CD6615-100,CI3868-001,CI3870-100,AR9293-603,AO2924-401
AJ9515-001,AV9373-002,AV9370-001,704939-103,864348-019,CI5546-100,807471-101,807471-103,CJ1642-002,CK6357-005,CK6360-001
AO2434-101,CU5646-001,CI2668-004,BQ3177-100,AA8027-109,AA8030-108,AH7858-010,CU5133-600,CD5007-102,CD4570-300,BQ7043-668
CJ0861-010,CJ0861-017,CD8526-446,CJ6314-146,AQ8306-407,AO2982-076,AQ1189-009,CJ0818-146,BQ6044-100,BQ6046-010,CD3395-006
AT1198-401,AO2605-600,CI9949-001,AH7249-118,CD0191-009,CQ7731-900,CD0188-101,CD5086-500,CD5082-001,CD5028-900,BQ4631-100
AT7996-606,AT7996-414,AT7995-104,CJ1306-401,AT7993-414,AT7978-414,AT7999-414,CJ1300-401,AT5269-606,BQ5435-703,BQ5435-401
CK2772-101,CD2153-001,852542-087,CK3022-005,BV1507-001,CT5342-007,CN3591-002,CI3831-200,CD6105-007,CI3794-600,310805-137
AQ7477-009,AR7718-001,AT7324-001,AQ7878-003,CI3709-001,AH6789-023,CD6615-100,CD0132-001,CI3868-001,CI3870-100,AR9293-603
AQ5707-001,AQ1289-003,AQ5708-201,CJ0267-001,CJ0266-001,BV7782-001,AQ1316-500,BV7774-100,BV7775-100,CI1289-100,AA7408-008
BV4584-001,CQ6278-001,CD2182-001,CT2692-002,AQ2730-009,CD4363-103,CI3707-100,AQ2731-500,CI3706-100,CD4365-003,AJ6844-007
CD6721-808,AQ4174-049,AQ4176-049,CD6720-808,AT7898-104,BQ5469-703,CT1099-093,AT7946-414,AT7978-414,AT7975-606,AT7949-606
AO0566-606,AO0571-606,AO0570-810,AO0578-717,AO0577-717,AO3267-080,AO3269-717,CD4172-606,AT5269-606,CD4156-606,CD4161-606
AT5410-003,CD2053-105,AH6789-023,CD6615-100,CI3868-001,CI3870-100,AQ0927-100,AR9293-603,AO2924-401,AQ4126-100,CI3708-700
BV6348-300,BV6344-001,CI9367-301,CK2630-001,CK2630-700,FU8940,FU8932,FU8929,FU8941,CJ0219-400,CJ0220-400
CI3703-401,AO1741-003,AR9293-603,CD0132-001,AH6789-023,CD6615-100,CI3709-001,CI3868-001,CI3870-100,AO2924-401,CT5064-001
AT7946-414,AT5269-606,AT7949-606,BQ5427-401,AT7960-104,AT5292-606,AT5292-004,AT7968-606,AT7975-606,AT7978-414,AT7967-104
BQ5401-001,BQ4430-400,BV6484-002,AR4543-013,BQ5467-101,487754-303,CT1104-700,CN7383-300,BQ5972-001,CK5669-400,CT1020-001
BV7725-500,CK2351-601,CQ6566-700,CQ7619-700,CQ7620-001,BV0389-001,BV1357-003,CK5669-400,CT5543-300,CI1694-300,CK5668-600
CU7623-002,AT6395-002,AJ6844-007,AQ2730-009,CD4363-103,CI3707-100,AQ2731-500,CD4365-003,AO1742-004,BV4584-001,CT3867-001
CK5669-400,CJ0588-001,CI3705-600,AQ0925-002,807443-503,BV1357-003,CQ6566-700,CQ6639-001,AH6789-023,CT5543-300,CK5668-600
704939-103,AJ9515-001,AV9373-002,864348-019,AV9370-001,CJ0882-001,923112-001,705265-006,AR7718-001,CT3110-400,CI5546-100
CD5050-400,BQ3177-100,CD5007-102,CU5646-001,CI2668-004,CU5133-600,AQ0114-101,AR4225-003,AR4225-100,AO2434-101,CD0188-101
CK5836-100,943806-602,CD5028-900,AQ2456-007,BQ4631-100,CD0191-009,AV6337-003,BQ4630-500,CD5029-001,AV5555-001,F34608
CI1396-600,CI1396-004,CD0132-001,AH6789-023,CD6615-100,AQ0927-100,CI3709-001,CT5064-001,CI3868-001,CI3870-100,AR9293-603
CD0916-001,AJ7695-100,AJ1285-101,AQ0926-001,325213-139,881105-800,CT2007-100,CQ6639-001,AH6789-023,CJ1794-600,CD0917-300
BV1507-001,CI3831-200,CD2153-001,BQ6166-003,CI3835-002,CN3591-002,BQ2728-012,CD6964-002,CJ3312-001,AT1369-103,AO9820-001
BQ6623-070,CI3794-600,AT3381-008,AO2924-401,AV5187-602,BV5502-600,CD6105-007,CI3868-001,CI3870-100,AR9293-603,BV6484-002
CD4156-606,CD4159-606,CD4161-606,AO3258-080,AJ6959-717,CD4173-606,CD4172-606,AO3269-717,AO3267-080,AT7946-414,AT5292-606
CI3831-200,BV1507-001,CD2153-001,CN3591-002,BQ2728-012,BQ6166-003,CI3835-002,CD6964-002,CJ3312-001,AT1369-103,AO9820-001
AO1741-003,CI3703-401,AH6789-023,CD6615-100,CI3868-001,CI3870-100,AR9293-603,AO2924-401,CD0132-001,CI3709-001,AQ2567-002
AH8050-100,CT1264-101,BV3387-400,AH6789-023,CD6615-100,CT5064-001,CT5528-001,CT2535-001,CK4126-001,CQ6549-001,AQ0927-100
CD4159-606,CD4156-606,CD4173-606,AO3258-080,AJ6959-717,CD4161-606,CD4172-606,AO3267-080,AO3269-717,AT7949-606,AT6107-606
CK4363-100,CD0888-002,CD0887-201,315123-111,CT4328-101,CI3446-001,315115-112,366731-100,AA0287-002,CQ0492-001,315122-001
CN8490-100,CQ6639-001,CT4352-104,CI5646-200,CU0675-300,CD0490-104,CD0490-101,CD0881-104,CI7395-100,325213-139,AJ7695-100
CI9921-001,CJ0270-601,CJ0267-001,CJ0266-001,CJ0217-001,BV7774-100,AQ1316-500,CI9994-001,AQ5707-001,CI1289-100,AQ1289-003
AO3269-717,AO3267-080,CD4172-606,CD4173-606,AO3258-080,CD4156-606,AO0571-606,CD4159-606,AJ6959-717,AT7978-414,CD4161-606
CI9367-301,BV6348-300,BV6344-001,AT1369-103,AO3116-004,CJ0710-004,CN6881-300,BV7106-400,BV7099-400,AQ7489-008,807471-101
AT7960-104,AT7967-104,AT7995-104,AT5269-606,AT7968-606,AT8000-104,AT7998-104,AT7946-414,CJ1292-703,CJ1292-401,AT7898-104
AT8179-100,AR9293-603,CT1549-001,BV1357-003,AO4971-700,AT6174-004,CI3868-001,CI3870-100,AQ0927-100,AO2924-401,AR6632-603
AV3866-001,AQ0925-002,CJ0588-001,CK5669-400,921733-104,CI3709-001,CD0132-001,AQ0927-100,AH6789-023,CI3705-600,CI7388-600
AH1015-010,AH1016-602,AO9820-001,AO9819-001,BQ8928-011,BQ8927-102,CD4371-001,CD4372-004,BV0417-401,CN5501-046,AR4561-200
AT5293-004,AT6099-606,AT6100-606,AT6109-606,AT5292-606,AT6110-004,AT5292-004,AT6107-606,AQ4174-049,CD4161-606,CD6720-808
AT7949-606,AT7968-606,AT7946-414,AT7980-606,AT7967-104,BQ5427-401,AT6107-606,AT5269-606,AT7960-104,AH7378-801,AT7999-414
AT6395-002,AO1742-004,CU7623-002,AJ6844-007,AQ2730-009,CD4363-103,CI3707-100,AQ2731-500,CD4365-003,CT3867-001,CI3706-100
CK6357-005,CK6360-001,CT3509-001,CD0200-003,BV7106-400,BV7099-400,CJ0280-001,CJ0277-002,CI9994-001,807471-101,807471-103
AV5555-001,AT5301-003,BQ6166-003,AO9820-001,CT5064-001,AO9819-001,BQ2728-012,CI3835-002,CD2153-001,BV1507-001,CN5501-046
310805-137,414571-030,CT5342-007,CD6105-007,528895-003,554724-066,554724-050,487471-003,CN2932-100,130690-017,AR5149-005
130690-017,310805-137,487471-003,CI1236-100,CT5342-007,414571-030,528895-003,CN2932-100,CD6105-007,AR5149-005,554724-066
CT1264-101,BV3387-400,AH8050-100,CT5064-001,CK4126-001,CT5528-001,CT2535-001,CI3899-200,AO4971-700,AT6174-004,AH6789-023
CK5668-600,AT6175-100,AQ2568-100,CI3867-001,CT5062-100,BV1357-003,CD0132-001,CI3709-001,CQ6639-001,AH6789-023,CD6615-100
BQ5427-401,BQ5435-703,BQ5435-401,BQ5430-401,CJ1292-703,CJ1292-401,AT7946-414,BQ5469-703,AT7949-606,CJ1306-401,CJ1300-401
AQ7497-300,AQ8228-102,AA7406-006,BQ7043-668,CD3460-010,CD4573-001,AQ2210-002,AR5677-200,AR5676-401,AH7858-010,CN6867-001
CT4526-100,CT4525-001,CI3708-700,AQ4126-100,CT1549-001,921733-104,921826-016,CI7388-600,CJ0625-700,AQ0927-100,BQ5615-002
AH7378-801,AT7968-606,AT7967-104,AT7949-606,AT5269-606,AT7960-104,AT7999-414,AT7946-414,AT6107-606,AT7997-606,AT8000-104
CJ0404-001,CD4570-300,BV7756-001,AT8241-002,AT8240-003,880848-005,BV0389-001,CJ0509-001,CJ0710-004,CN6881-300,CD7288-001
CI3871-300,CI3869-500,BV5841-800,BQ5972-001,CU3013-070,CI3868-001,CI3870-100,CT5229-001,CD0683-600,AR9293-603,AO2924-401
BQ2728-012,BQ6166-003,CI3835-002,CI3831-200,CN3591-002,CD2153-001,BV1507-001,CD6964-002,CJ3312-001,AT1369-103,AO9820-001
CT3110-400,CT3632-001,705265-006,CK0980-002,923112-001,CJ0882-001,CL7560,CL7559,CL7561,AQ7878-003,DA4155-400
CJ0270-601,CI9921-001,CJ0267-001,CJ0266-001,CJ0217-001,BV7774-100,AQ1316-500,CI9994-001,AQ5707-001,CI1289-100,AQ1289-003
CT8919-700,CT5770-300,CQ9500-100,AO4568-600,CN7383-300,AR4347-600,CD4371-001,CD4372-004,AJ4115-060,CU9174-600,BQ3610-100
CT1020-001,CD4366-002,AO4971-700,AT6174-004,CT5064-001,CT4328-101,CQ0492-001,CT5528-001,CT2535-001,BQ6166-003,CI3835-002
CD5082-001,CD5086-500,CI2666-400,AO2607-401,CI9949-001,AO2605-600,CD0191-009,AT1198-401,CD0189-001,AR8836-009,BQ5427-401
BV5739-500,BV5740-101,AQ2203-003,AQ2210-002,CN6867-001,CD4573-001,AV6259-500,AR5676-401,AR5677-200,BV0614-005,BV0612-001
CW4286-100,CT7698-600,CU9174-600,CT7695-401,BV9977-101,CQ6639-001,AH6789-023,CD6615-100,CN8490-100,CI3868-001,CI3870-100
CD0887-201,AO2132-401,315115-112,315122-001,CT4328-101,CK4363-100,CD0888-002,315123-111,366731-100,AA0287-002,CQ0492-001
CD5028-900,BQ4631-100,943806-602,CD0191-009,AQ2456-007,CK5836-100,AV6337-003,CD5029-001,AO2605-600,BQ4630-500,832528-001
AJ6900-102,AJ6910-009,AT5673-700,CK9670-100,CT5063-100,CK2718-003,CK2719-400,CI1246-302,AR6632-603,AR6631-004,BV1712-001
CI9842-500,CK7200-800,CZ6156-101,CD0479-200,CJ0636-100,CN8490-100,CQ6639-001,CI3898-200,AQ0927-100,BQ9665-301,AH6789-023
CI0919-100,CQ3317-001,CQ0492-001,AR5339-002,CQ6566-700,CJ1646-600,CT1020-001,CT4328-101,CJ1642-002,366731-100,315123-111
CK7200-800,CI9842-500,CZ6156-101,CQ6639-001,AQ0927-100,AH6789-023,CD0132-001,CD6615-100,CI3709-001,CN8490-100,CI3868-001
487754-303,AQ2567-002,CQ6569-001,BV1357-003,CJ9681-001,CK4122-100,AQ0927-100,AQ4126-100,CI3868-001,CI3870-100,AH6789-023
AH7249-118,AT1369-103,AT6109-606,AT6100-606,AA1625-009,AA1626-602,AT6110-004,AT7978-414,AT6107-606,AO3269-717,AT5293-004
CJ9684-001,CD7005-001,AO1023-005,CD6615-100,AH6789-023,CT5064-001,CD0132-001,CI3709-001,CI3868-001,CI3870-100,AR9293-603
AO0354-108,AH7858-010,BQ5467-101,CN7383-300,CI1694-300,918193-700,AQ8228-102,BQ7043-668,CD3460-010,AR5676-401,AT8240-003
AT2863-100,AT8242-009,BV7766-100,CN6928-300,CN7383-300,BV7757-500,BV1134-001,AJ4115-060,AR4347-600,BQ1896-002,CJ9712-001
832528-001,832655-001,488161-602,EE7042,CK0980-002,618919-031,343880-090,343881-412,BQ4632-602,CD2803-001,EE7346
CD4371-001,CD4372-004,BQ8928-011,BQ8927-102,AH1015-010,AH1016-602,CN5501-046,CJ0280-001,CT5064-001,CJ0277-002,BV0417-401
AQ8830-016,310805-137,CD6105-007,554724-066,554724-050,AR5149-005,CT5342-007,133000-106,528895-003,BV5502-600,414571-030
AO9819-001,AO9820-001,AH1015-010,AH1016-602,BQ8928-011,BQ8927-102,CI3835-002,CN7664-800,BQ6166-003,AT1369-103,CT5064-001
AR3863-101,885118-001,634835-108,BQ5102-400,AQ0927-100,AH6789-023,CD6615-100,CT7695-401,CU9174-600,CW4286-100,CI3709-001
CI3706-100,CI3707-100,AQ2731-500,AQ2730-009,CD4363-103,CD4365-003,CT3867-001,BV7775-100,BQ8928-011,BQ8927-102,CD4371-001
AT1369-103,AA1625-009,AA1626-602,BQ6166-003,CI3835-002,AO9820-001,CT5064-001,AO9819-001,BQ2728-012,AO4971-700,AT6174-004
AQ1189-009,AO2982-076,CJ0818-146,CD3395-006,CN5455-160,CD3398-063,BQ6044-100,BQ6046-010,CJ0861-017,CJ0861-010,CD8526-446
CU5133-600,CU5646-001,BQ3177-100,CI2668-004,AO2434-101,CD5007-102,CD5050-400,AQ0114-101,AR4225-003,AR4225-100,553558-125
CK9670-100,CK2718-003,CK2719-400,CT5063-100,CK9671-001,AJ6910-009,CI1246-302,AJ6900-102,BV1712-001,AR6632-603,AT5673-700
CI5546-100,AJ9515-001,AV9373-002,AV9370-001,864348-019,704939-103,AO2434-101,CU5646-001,AR5339-002,CD4570-300,CD0916-001
BQ6826-003,923112-001,705265-006,CD5036-100,AR7718-001,AT7324-001,AQ7878-003,AQ7477-009,CT3110-400,CT3632-001,CJ0882-001
CU0814-102,325213-139,AJ7695-100,AJ1285-101,881105-800,CN8490-100,CQ6639-001,CT4352-104,AQ0926-001,CD0490-104,CD0490-101
AV4789-104,BQ3378-002,AO3108-018,415445-102,AO3095-100,BQ6166-003,CI3835-002,885118-001,CD8526-446,CN3591-002,CD6964-002
CJ3312-001,BQ6166-003,CI3835-002,BQ2728-012,CD2153-001,BV1507-001,CN3591-002,CI3831-200,CD6964-002,AO9820-001,AO9819-001
AR6631-004,AR6632-603,AT6817-300,CI1246-302,BV1712-001,CK9670-100,AT5673-700,CK2718-003,CK2719-400,CT5063-100,AJ6910-009
BQ6166-003,CI3835-002,BQ2728-012,BV1507-001,CD2153-001,CI3831-200,CN3591-002,CD6964-002,CJ3312-001,AT1369-103,AO9820-001
CQ0492-001,CT4328-101,315123-111,366731-100,AA0287-002,CJ1379-001,CJ1646-600,315115-112,CD0887-201,CD0888-002,CI3446-001
918193-700,AA8022-107,AA8027-109,AA8018-101,AA8030-108,918194-003,CD0431-107,AH7858-010,AQ2222-200,AQ8228-102,BQ5467-101
AQ0926-001,AJ1285-101,AJ7695-100,881105-800,AQ0927-100,325213-139,CQ6639-001,CN8490-100,CD0490-104,CD0490-101,CD0881-104
AQ7489-008,CJ6314-146,CD8526-446,AO2982-076,AQ1189-009,CJ0861-017,CJ0861-010,CJ0818-146,BQ6044-100,BQ6046-010,CD3395-006
CD7070-009,CK2595-500,CD0113-400,CQ6549-001,AH6789-023,CT5064-001,CD6615-100,AO1023-005,CT2535-001,CT5528-001,CD6105-007
AH7857-009,AH7858-010,CI1694-300,487471-003,942851-002,CT2535-001,CT5528-001,AQ2222-200,AA8027-109,AA7406-006,AA1640-002
CT5229-001,CI3868-001,CI3870-100,AR9293-603,AO2924-401,CD0683-600,CT5064-001,CD0132-001,BV6484-002,AH6789-023,CD6615-100
CJ1300-401,AT7993-414,CJ1306-401,BQ5430-401,CJ1292-401,CJ1292-703,AT7996-414,AT7997-606,AT7975-606,AT7996-606,BQ5435-703
